                         Median Income for 4-Person Families, by State, According to the U.S. Census Bureau 
                        Reported November 3, 1999 on Web site http://www.census.gov/hhes/income/4person.html

Year                  1997  1996  1995  1994  1993  1992  1991  1990  1989  1988  1987  1986  1985  1984  1983  1982  1981  1980  1979

United States        53350 51518 49687 47012 45161 44615 43056 41451 40763 39051 36812 34716 32777 31097 29184 27619 26274 24332 22395
Alabama              48240 44879 42617 41730 37975 39659 37638 35937 34930 33022 31221 29799 28407 26595 25117 24181 22443 22026 18613
Alaska               57474 62078 56045 53555 51181 49632 49721 51538 48411 47247 47106 41292 42897 44017 38238 31823 35834 32745 31037
Arizona              47133 45032 44526 41599 39679 39900 39364 38799 38347 36892 35711 33477 32129 29431 27551 29835 25163 23832 23000
Arkansas             38646 36828 38520 36510 32594 36682 34566 31913 31853 28665 27415 27157 26255 23075 21524 20710 20583 19448 18493
California           55217 53807 51519 48755 44643 46774 46643 45184 42813 41425 40218 37655 36223 33711 31967 29885 27763 26070 25109
Colorado             58988 53632 50941 48801 47112 45021 43136 41803 40265 39095 37778 36026 35214 34154 32294 30663 28756 25943 25228
Connecticut          72706 67380 62157 62107 59288 55061 54479 53931 53313 50720 47195 44330 40677 39070 37703 35361 31108 28376 24410
Delaware             63171 56662 54519 55049 50228 50999 48531 46524 42790 41742 39794 35766 34104 33809 31676 30798 27174 25479 21184
District of Columbia 56125 53256 49837 52015 46943 45782 43994 38824 40574 38562 36523 35424 32610 31104 28701 26897 28312 25476 21310
Florida              49913 44829 44626 43374 40405 40925 40484 38438 37399 37280 35247 33368 31364 28858 25455 25745 23504 21355 20757
Georgia              51649 48920 48850 45093 44120 42696 41274 41184 40019 38208 35529 34602 31907 29623 27463 36935 25131 25290 21578
Hawaii               58474 57909 54749 56992 54856 50821 49367 50234 44988 42353 40878 36618 34636 33445 31614 30019 29295 27514 24582
Idaho                46126 44133 42142 41208 39851 38844 36789 34091 33633 31454 29701 27075 27383 25499 24009 23529 22821 21251 20429
Illinois             57811 55372 53807 51951 47975 47474 45707 44220 42609 41635 39891 36163 34374 33126 30736 29758 29403 26202 24265
Indiana              53581 52962 47465 47212 44274 43674 41850 39700 38201 37939 35016 32026 31369 30302 26924 26123 24832 24043 22614
Iowa                 51782 48167 47314 45062 42772 41827 39763 38090 36736 34804 34094 30556 29425 28650 25800 26129 26678 24244 22567
Kansas               52900 49034 46611 44409 43155 42285 40682 40576 37938 35796 34474 32512 31114 30330 27569 23596 24842 23334 22848
Kentucky             46033 44932 40587 37984 36291 38512 36255 36348 34390 32088 30257 28464 27307 25815 24096 23732 22409 20960 19138
Louisiana            46087 41851 41442 39734 35177 38061 36105 36510 34406 32514 31964 29614 29910 28430 27953 27165 26144 23711 20166
Maine                48043 48632 45507 42647 41513 40924 40251 38848 38336 35385 31957 31297 28537 26237 24178 23036 22201 21207 18074
Maryland             66508 61860 60239 57951 53717 51864 51103 53385 50145 49105 46384 42250 40055 38132 35475 32456 30019 27394 24686
Massachusetts        65012 62385 59191 58695 55120 51172 51135 52171 51799 48296 44329 42295 39079 36731 33990 30327 28839 26381 23786
Michigan             57521 56174 52955 51342 46633 45704 44605 43545 42825 41044 40105 36088 33908 32365 29472 28125 27976 25342 24422
Minnesota            60577 56200 54396 51996 48817 46518 44785 43031 42365 41076 39775 36746 34376 33807 30785 28666 29261 25394 24409
Mississippi          42238 38748 37328 37003 34001 35731 33941 30242 32300 29624 27416 26763 25716 23660 21957 22247 22509 20765 17672
Missouri             52179 50015 45795 44266 42162 41926 40285 39766 38478 37187 35437 33149 31414 30050 27789 26035 25339 23488 21294
Montana              43559 41462 42987 39219 38157 37174 36094 35105 33882 32333 31015 29190 27999 26072 25278 24965 24953 23449 20051
Nebraska             53419 46726 44886 45497 42262 42207 39845 39664 37902 34287 32969 31484 30655 28752 26100 25372 24835 22941 20749
Nevada               53302 50946 50064 47929 46137 43472 42418 41629 39737 39148 37810 33604 32314 31059 34504 28411 28829 25208 25457
New Hampshire        59981 56497 54492 51491 49452 48385 47646 49088 47983 45619 40833 39503 35702 33255 30414 28810 25332 23554 22335
New Jersey           67335 65586 61409 60697 57916 55634 54374 56436 53229 52305 47846 44591 40800 39096 36448 32781 30793 27772 24640
New Mexico           40033 38143 37365 37170 35560 36299 34736 32941 31156 29350 27675 27474 27127 25468 23906 23642 21488 20453 21032
New York             55911 52799 50672 50964 47570 48039 46649 44200 43693 41700 38992 36796 34478 32665 30539 28730 26030 24465 21082
North Carolina       51790 49272 47367 44582 42691 41766 39934 39718 38068 35678 33253 31787 30290 27995 25363 24085 23625 22399 19648
North Dakota         46921 45480 43483 42222 41084 40179 37186 36127 34806 31346 31152 29424 28993 28901 26327 26361 25364 22436 19520
Ohio                 55926 51835 50893 46848 46116 43636 42201 42821 41469 38145 36344 34038 33478 30779 28305 27100 26851 24898 22528
Oklahoma             44283 43138 42124 38787 35133 37704 36285 34141 34470 31905 30772 29071 29050 28856 27169 27461 24701 22563 20852
Oregon               54226 46245 46229 44432 42745 41558 40272 39653 38723 36623 34555 31392 30741 28633 26404 25988 24516 23208 24031
Pennsylvania         55386 53814 50884 49120 47109 45015 43213 40892 40404 37855 35638 32700 32265 29573 28274 27209 26519 24814 22314
Rhode Island         62005 53967 51362 51709 47908 46797 46190 44598 43278 41377 37814 35837 34154 32066 29167 28170 25625 24132 21636
South Carolina       49660 46973 44048 43556 40163 40753 39134 38797 36113 34915 32417 31025 29417 27810 25756 23490 22060 19427 20154
South Dakota         46831 45043 42269 42964 38067 38703 36406 34632 32829 30503 29142 27008 26153 25391 23998 22009 21708 20729 19209
Tennessee            48244 45245 44312 42132 38341 40549 38552 34279 34882 34160 31916 29568 27917 26603 24081 23875 22336 20700 19437
Texas                48007 46757 43977 42570 40688 40695 39204 37789 34978 35280 35656 32442 32189 31031 29290 28581 26492 24059 23416
Utah                 50823 45775 45611 44871 42630 41505 39526 38632 36562 34410 32980 30635 29634 27497 25678 25877 24171 22711 21250
Vermont              51814 49401 47376 46320 44184 43167 41940 41312 40397 36467 33983 32490 30019 26645 25441 23797 23551 21773 19314
Virginia             57050 53394 50032 49453 47732 45492 44488 44597 45090 42587 39913 37885 35353 33480 31451 28528 28850 25331 22976
Washington           57421 53153 51415 48932 50557 46327 43982 44306 41728 39327 38308 35071 32791 31585 30185 29972 28254 25993 24410
West Virginia        43668 41293 39731 38357 34189 37437 35163 33666 31811 29743 28711 27094 26170 25316 22153 22425 22842 21244 18876
Wisconsin            57270 52986 50628 48982 46363 44444 42746 43182 40557 38662 36674 33739 32007 30622 28979 27873 27232 25050 23518
Wyoming              48412 46830 45925 47961 45414 43126 40175 36796 35620 33667 33692 28742 30741 29752 28480 29582 27553 25853 22673
